"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","42","","","","","","",""
"AVSS0","43","","","","","","",""
"P000","48","","","","Disabled","","","ADC0: AN000
ICU0: IRQ06"
"P001","47","","","","Disabled","","","ADC0: AN001
ICU0: IRQ07"
"P002","46","","","","Disabled","","","ADC0: AN002
ICU0: IRQ08"
"P013","40","","","","Disabled","","","ADC0: AN011
ANALOG0: VREFL"
"P014","39","","","","Disabled","","","ADC0: AN012
DAC0: DA0"
"P015","38","","","","Disabled","","","ADC0: AN013
DAC1: DA1
ICU0: IRQ13"
"P100","36","","","","Disabled","","","AGT0: AGTIO0
GPT_POEG0: GTETRGA
GPT5: GTIOC5B
ICU0: IRQ02
QSPI0: QSPCLK
SCI0: RXD0
SCI0: SCL0
SCI1: SCK1"
"P101","35","","","","Disabled","","","AGT0: AGTEE0
GPT_POEG1: GTETRGB
GPT5: GTIOC5A
ICU0: IRQ01
QSPI0: QIO1
SCI0: SDA0
SCI0: TXD0
SCI1: CTSRTS1"
"P102","34","","","","Disabled","","","ADC0: ADTRG0
AGT0: AGTO0
CAN0: CRX0
GPT_OPS0: GTOWLO
GPT2: GTIOC2B
QSPI0: QIO0
SCI0: SCK0"
"P103","33","","","","Disabled","","","AGT2: AGTIO2
CAN0: CTX0
GPT_OPS0: GTOWUP
GPT2: GTIOC2A
QSPI0: QIO3
SCI0: CTSRTS0"
"P104","32","","","","Disabled","","","AGT2: AGTEE2
GPT_POEG1: GTETRGB
GPT1: GTIOC1B
ICU0: IRQ01
QSPI0: QIO2"
"P108","25","DEBUG0_TMS","Low","","Peripheral mode","CMOS","None","AGT3: AGTOA3
DEBUG0: SWDIO
DEBUG0: TMS
GPT_OPS0: GTOULO
GPT0: GTIOC0B
SCI9: CTSRTS9
SPI0: SSLA0"
"P109","26","DEBUG0_TDO","Low","","Peripheral mode","CMOS","None","AGT3: AGTOB3
CGC0: CLKOUT
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOC1A
SCI9: SDA9
SCI9: TXD9
SPI0: MOSIA"
"P110","27","DEBUG0_TDI","Low","None","Peripheral mode","CMOS","None","AGT3: AGTEE3
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOC1B
ICU0: IRQ03
SCI2: CTSRTS2
SCI9: RXD9
SCI9: SCL9
SPI0: MISOA"
"P111","28","","","","Disabled","","","AGT5: AGTOA5
GPT3: GTIOC3A
ICU0: IRQ04
SCI2: SCK2
SCI9: SCK9
SPI0: RSPCKA"
"P112","29","","","","Disabled","","","AGT5: AGTOB5
GPT3: GTIOC3B
QSPI0: QSSL
SCI1: SCK1
SCI2: SDA2
SCI2: TXD2
SPI0: SSLA0
SSI0: SSIBCK0"
"P200","21","","","","Disabled","","","ICU0: NMI"
"P201","20","","","","Disabled","","","SYSTEM0: MD"
"P206","18","","","","Disabled","","","CTSU0: TS02
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA1
SCI4: RXD4
SCI4: SCL4
SCI9: CTS9
SDHI0: SD0DAT2
SPI0: SSLA1
SSI0: SSIDATA0
USB_FS0: USB_VBUSEN"
"P207","17","","","","Disabled","","","CTSU0: TSCAP
QSPI0: QSSL
SCI4: SDA4
SCI4: TXD4
SPI0: SSLA2"
"P212","8","","","","Disabled","","","AGT1: AGTEE1
CGC0: EXTAL
GPT_POEG3: GTETRGD
GPT0: GTIOC0B
ICU0: IRQ03
SCI1: RXD1
SCI1: SCL1"
"P213","7","","","","Disabled","","","AGT2: AGTEE2
CGC0: XTAL
GPT_POEG2: GTETRGC
GPT0: GTIOC0A
ICU0: IRQ02
SCI1: SDA1
SCI1: TXD1"
"P300","24","DEBUG0_TCK","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT_OPS0: GTOUUP
GPT0: GTIOC0A
SPI0: SSLA1"
"P301","23","","","","Disabled","","","AGT0: AGTIO0
GPT_OPS0: GTOULO
GPT4: GTIOC4B
ICU0: IRQ06
SCI2: RXD2
SCI2: SCL2
SCI9: CTSRTS9
SPI0: SSLA2"
"P302","22","","","","Disabled","","","GPT_OPS0: GTOUUP
GPT4: GTIOC4A
ICU0: IRQ05
SCI2: SDA2
SCI2: TXD2
SPI0: SSLA3"
"P402","1","","","","Disabled","","","AGT0: AGTIO0
AGT1: AGTIO1
AGT2: AGTIO2
AGT3: AGTIO3
CAC0: CACREF
CAN0: CRX0
ICU0: IRQ04
RTC0: RTCIC0
SCI4: CTS4
SSI_COMMON0: AUDIO_CLK"
"P407","12","","","","Disabled","","","ADC0: ADTRG0
AGT0: AGTIO0
CTSU0: TS03
GPT6: GTIOC6A
IIC0: SDA0
RTC0: RTCOUT
SCI4: CTSRTS4
SPI0: SSLA3
USB_FS0: USB_VBUS"
"P408","11","","","","Disabled","","","AGT2: AGTOB2
CTSU0: TS04
GPT_OPS0: GTOWLO
GPT6: GTIOC6B
ICU0: IRQ07
IIC0: SCL0
SCI3: RXD3
SCI3: SCL3
SCI4: CTS4
USB_FS0: USB_ID"
"P409","10","","","","Disabled","","","AGT2: AGTOA2
CTSU0: TS05
GPT_OPS0: GTOWUP
ICU0: IRQ06
SCI3: SDA3
SCI3: TXD3
USB_FS0: USB_EXICEN"
"P500","37","","","","Disabled","","","ADC0: AN016
AGT0: AGTOA0
CAC0: CACREF
GPT_OPS0: GTIU
QSPI0: QSPCLK
USB_FS0: USB_VBUSEN"
"RES","19","","","","","","",""
"USBDM","14","","","","","","",""
"USBDP","15","","","","","","",""
"VBATT","2","","","","","","",""
"VCC","9","","","","","","",""
"VCC","30","","","","","","",""
